Fecha,2015,2016,2017,2018,2019,2020,2021,2022,INE2018
2020-06-18,1065.62,1041.29,1135.99,1068.51,1102.77,1063.29,1103.28,1508.81,1172
2020-06-19,1020.81,982.68,1155.64,1098.62,1103.95,973.99,1026.32,1310.16,1172
2020-06-20,1088.49,975.37,1169.78,1095.61,1111.85,1036.37,1001.27,1306.84,1172
2020-06-21,989.57,1032.98,1208.63,1182.71,1036.61,979.02,1023.3,1244.58,1172
2020-06-22,995.1,1116.52,1180.93,1120.59,1058.63,983.7,1013.9,1329.5,1172
2020-06-23,1034.78,1084.43,1184.82,1130.25,1087.34,1153.88,1086.06,1249.42,1172
2020-06-24,1018.84,1095.76,1180.83,1136.43,1026.83,1128.08,1122.74,1234.62,1172
2020-06-25,997.86,1045.54,1034.18,1112.08,1078.46,1097.67,1120.07,1198.76,1172
2020-06-26,1117,934.66,1116.98,1167.91,1096.95,1141.7,1024.45,1074.23,1172
2020-06-27,1009.39,955.44,1048.32,1147.27,1152.13,1097.37,1000.1,1187.13,1172
2020-06-28,1023.48,1092.12,1031.77,1134.91,1158.87,967.96,1048.76,1203.61,1172
2020-06-29,1121.73,1030.48,1035.51,1172.36,1127.53,1030.5,1116.44,1352.58,1172
2020-06-30,1179.53,1133.71,1112.87,1065.11,1063.34,1155.07,1118.5,1247.85,1172
2020-07-01,1214.97,1120.78,1027.04,1026.56,1149.97,1130.67,1098.95,1236.09,1172
2020-07-02,1204.67,1076.72,937.66,1035.05,1209.04,1148.04,1103.55,1233.24,1172
2020-07-03,1164.38,1001.71,1002.53,1082.26,1144.23,1102.91,1134.82,1202.82,1172
2020-07-04,1141.58,1073.35,1069.8,1038.49,1179.78,1068.24,984.18,1273.16,1172
2020-07-05,1158.72,1078.85,1066.18,1089.06,1195.03,1057.94,1118.32,1304.33,1172
2020-07-06,1206.45,1112.59,1098.64,1094.98,1193.77,1078.47,1175.68,1328.03,1172
2020-07-07,1243.59,1164.82,1041.34,1014.07,1116.81,1114.99,1082.97,1355.8,1172
2020-07-08,1276.38,1113.77,1034.72,1070.03,1087.45,1104.68,1024.05,1320.65,1172
2020-07-09,1244.94,1079.85,955.65,1033.38,1060.32,1170.55,1105.04,1318.35,1172
2020-07-10,1254.94,1034.45,948.83,1150.14,1061.72,1176.42,1094.44,1268.13,1172
2020-07-11,1110.16,1055.94,1020.11,1094.41,1103.1,1125.41,1035.14,1356.04,1172
2020-07-12,1083.43,1172.09,1056.62,1093.09,1165.71,1018.13,1083.09,1517.45,1172
2020-07-13,1125.83,1113.95,1072.5,1130.79,1117.63,1067.07,1000.48,1505.22,1172
2020-07-14,1238.67,1077.67,1114.28,1045.85,996.69,1098.03,1088.83,1645.9,1172
2020-07-15,1174.75,981.97,1064.97,973.03,1026.3,1083.71,1063.96,1704.4,1172
2020-07-16,1180.75,1079.19,1043.24,1010.68,1124.81,1074.06,1201.57,1619.75,1172
2020-07-17,1206.41,1043.4,1050.09,1098.13,1051.99,1144.42,1138.77,1606.21,1172
2020-07-18,1235.47,1073.56,1097.35,1048,1053.2,1161.18,1075.26,1770.76,1172
2020-07-19,1079.61,1098.22,1112.14,1065.73,1068.9,1027.62,1147.29,1709.54,1172
2020-07-20,1160.88,1123.58,1072.24,1067.83,1056.63,1107.58,1143.52,1555.41,1172
2020-07-21,1151.73,1086.22,1074.76,1025.53,1039.06,1114.52,1257.18,1594.9,1172
2020-07-22,1158.57,1085.95,978.16,939.64,1000.13,1128.71,1275.86,1490.94,1172
2020-07-23,1106.38,1039.98,978.35,949.85,1121.11,1107.14,1307.79,1519.97,1172
2020-07-24,1151.92,960.41,980.07,1077.24,1112.48,1148.54,1257.99,1408.26,1172
2020-07-25,1103.91,969.21,1051.84,1022.55,1156.01,1177.88,1137.35,1484.35,1172
2020-07-26,1029.08,1120.44,1048.49,1077.38,1121.65,1082.06,1165.49,1515.03,1172
2020-07-27,1070.94,1033.85,1021.07,1117.78,1046.44,1096.99,1235.84,1430.61,1172
2020-07-28,1050.86,1086.9,1073.48,1025.38,1002.65,1188.6,1191.24,1397.57,1172
2020-07-29,1107.5,1050.58,1050.82,984.72,1021.97,1268.11,1247.06,1496.85,1172
2020-07-30,1097.51,1094.45,990.41,977.61,1025.55,1251.81,1346.22,1302.57,1172
2020-07-31,1053.79,1028.96,1050.17,1029.5,1063.84,1246.53,1190.67,1342.71,1172
2020-08-01,1020.67,1064.31,1087.37,1088.83,1077.77,1260.69,1098.4,1419.27,1172
2020-08-02,1057.98,1083.42,1111.66,1143.37,1063.85,1263.37,1178.84,1436.15,1172
2020-08-03,1075.84,1111.88,1038.28,1152.73,1012.05,1194.72,1270.46,1411.39,1172
2020-08-04,1089.53,1050.67,1118.06,1204.64,968.16,1247.39,1263.54,1395.41,1172
2020-08-05,1047.34,1094.81,1168.06,1217.24,967.99,1191.99,1220.84,1341.42,1172
2020-08-06,1048.67,1124.39,1082.09,1248.54,1054.44,1266.74,1385.33,1306.49,1172
2020-08-07,1043.37,947.07,1076.77,1248.76,1130.96,1171.22,1334.57,1177.33,1172
2020-08-08,969.22,993.25,1142.7,1152.16,1143.73,1229.37,1119.17,1266.11,1172
2020-08-09,971.4,1089.94,1024.24,1123.68,1109.81,1150.93,1256.78,1260.7,1172
2020-08-10,1009.96,1056.98,1066.77,1172.06,1026.57,1238,1214.23,1390.57,1172
2020-08-11,1098.33,1044.37,1062.87,1071.38,987.9,1236.19,1201.2,1365.31,1172
2020-08-12,1027.81,1054.38,995.93,1084.56,965.64,1234.42,1305.54,1353.52,1172
2020-08-13,1071.7,1024.76,930.87,1050.03,1040.41,1188.17,1346.1,1368.98,1172
2020-08-14,1044.08,1011.69,1074.63,1088.28,1025.93,1177.62,1323.18,1333.3,1172
2020-08-15,960.93,984.58,1079.52,1048.76,1089.69,1108.04,1273.64,1145.76,1172
2020-08-16,971.18,1024.01,976.76,1071.57,966.51,1028.94,1350,1149.64,1172
2020-08-17,961.04,1016.42,990.88,1085.8,1114.19,1097.05,1309.78,1212.34,1172
2020-08-18,1008.91,1080.92,1073.03,979.6,1031.57,1080.72,1298.28,1164.11,1172
2020-08-19,941.89,1088.31,1020.3,987.04,998.32,1149.38,1252.68,1197.05,1172
2020-08-20,977.48,1015.38,979.49,936.33,1002.84,1143.63,1264.33,1159.1,1172
2020-08-21,1017.58,958.87,926.04,1100.24,1002.19,1209.19,1262.3,1116.83,1172
2020-08-22,1019.01,1037.88,1045.14,1033.29,1001.74,1168.88,1124.51,1229.68,1172
2020-08-23,942.12,981.81,1081.57,1084.81,1060.51,1088.23,1119.34,1223.23,1172
2020-08-24,940.21,998.65,1106.29,1097.48,996.85,1119.4,1223.12,1231.31,1172
2020-08-25,953.79,1035.58,1098.53,986.93,1004.9,1134.12,1290.39,1220.36,1172
2020-08-26,1057.11,1104.53,1078.53,901.01,992.21,1160.4,1203.64,1195.2,1172
2020-08-27,1014.58,1061.29,994.92,1023.67,1015.18,1155.03,1223.58,1084.92,1172
2020-08-28,1001.85,1021.68,1031.13,1011.57,989.24,1270.21,1141.02,1021.61,1172
2020-08-29,1072.53,1057.09,1067.1,1034.99,1016.34,1143.47,1131.35,1140.75,1172
2020-08-30,1003.79,1056.7,1013.45,963.75,1079.91,1011.56,1232.35,1118.33,1172
