Sexo;Comunidades y provincias;Edad (hasta 100 y más);Total
Ambos sexos;Zaragoza;85-89;24.395
Ambos sexos;Zaragoza;90-94;11.033
Ambos sexos;Zaragoza;95-99;3.129
Ambos sexos;Zaragoza;100 y más;390
Ambos sexos;ASTURIAS, PRINCIPADO DE;Total;1.018.706
Ambos sexos;ASTURIAS, PRINCIPADO DE;0-4;30.225
Ambos sexos;ASTURIAS, PRINCIPADO DE;5-9;37.587
Ambos sexos;ASTURIAS, PRINCIPADO DE;10-14;41.707
Ambos sexos;ASTURIAS, PRINCIPADO DE;15-19;39.310
Ambos sexos;ASTURIAS, PRINCIPADO DE;20-24;38.453
Ambos sexos;ASTURIAS, PRINCIPADO DE;25-29;40.647
Ambos sexos;ASTURIAS, PRINCIPADO DE;30-34;49.444
Ambos sexos;ASTURIAS, PRINCIPADO DE;35-39;64.999
Ambos sexos;ASTURIAS, PRINCIPADO DE;40-44;83.421
Ambos sexos;ASTURIAS, PRINCIPADO DE;45-49;83.563
Ambos sexos;ASTURIAS, PRINCIPADO DE;50-54;80.560
Ambos sexos;ASTURIAS, PRINCIPADO DE;55-59;82.074
Ambos sexos;ASTURIAS, PRINCIPADO DE;60-64;80.154
Ambos sexos;ASTURIAS, PRINCIPADO DE;65-69;69.489
Ambos sexos;ASTURIAS, PRINCIPADO DE;70-74;63.529
Ambos sexos;ASTURIAS, PRINCIPADO DE;75-79;45.719
Ambos sexos;ASTURIAS, PRINCIPADO DE;80-84;36.659
Ambos sexos;ASTURIAS, PRINCIPADO DE;85-89;32.289
Ambos sexos;ASTURIAS, PRINCIPADO DE;90-94;14.501
Ambos sexos;ASTURIAS, PRINCIPADO DE;95-99;3.814
Ambos sexos;ASTURIAS, PRINCIPADO DE;100 y más;562
Ambos sexos;BALEARS, ILLES;Total;1.171.003
Ambos sexos;BALEARS, ILLES;0-4;52.235
Ambos sexos;BALEARS, ILLES;5-9;58.871
Ambos sexos;BALEARS, ILLES;10-14;62.007
Ambos sexos;BALEARS, ILLES;15-19;58.789
Ambos sexos;BALEARS, ILLES;20-24;62.227
Ambos sexos;BALEARS, ILLES;25-29;75.680
Ambos sexos;BALEARS, ILLES;30-34;85.224
Ambos sexos;BALEARS, ILLES;35-39;96.928
Ambos sexos;BALEARS, ILLES;40-44;105.591
Ambos sexos;BALEARS, ILLES;45-49;100.551
Ambos sexos;BALEARS, ILLES;50-54;88.543
Ambos sexos;BALEARS, ILLES;55-59;77.188
Ambos sexos;BALEARS, ILLES;60-64;64.038
Ambos sexos;BALEARS, ILLES;65-69;53.140
Ambos sexos;BALEARS, ILLES;70-74;46.253
Ambos sexos;BALEARS, ILLES;75-79;34.214
Ambos sexos;BALEARS, ILLES;80-84;23.455
Ambos sexos;BALEARS, ILLES;85-89;16.570
Ambos sexos;BALEARS, ILLES;90-94;7.360
Ambos sexos;BALEARS, ILLES;95-99;1.866
Ambos sexos;BALEARS, ILLES;100 y más;273
Ambos sexos;CANARIAS;Total;2.174.474
Ambos sexos;CANARIAS;0-4;77.710
Ambos sexos;CANARIAS;5-9;93.945
Ambos sexos;CANARIAS;10-14;109.950
Ambos sexos;CANARIAS;15-19;112.641
Ambos sexos;CANARIAS;20-24;118.077
Ambos sexos;CANARIAS;25-29;133.442
Ambos sexos;CANARIAS;30-34;144.886
Ambos sexos;CANARIAS;35-39;165.861
Ambos sexos;CANARIAS;40-44;188.583
Ambos sexos;CANARIAS;45-49;199.212
Ambos sexos;CANARIAS;50-54;185.709
Ambos sexos;CANARIAS;55-59;164.705
Ambos sexos;CANARIAS;60-64;128.700
