Sexo;Comunidades y ciudades autónomas;Edad (año a año);Total
Ambos sexos;Balears, Illes;5 años;..
Ambos sexos;Balears, Illes;6 años;1
Ambos sexos;Balears, Illes;7 años;..
Ambos sexos;Balears, Illes;8 años;..
Ambos sexos;Balears, Illes;9 años;..
Ambos sexos;Balears, Illes;10 años;..
Ambos sexos;Balears, Illes;11 años;..
Ambos sexos;Balears, Illes;12 años;..
Ambos sexos;Balears, Illes;13 años;6
Ambos sexos;Balears, Illes;14 años;2
Ambos sexos;Balears, Illes;15 años;..
Ambos sexos;Balears, Illes;16 años;17
Ambos sexos;Balears, Illes;17 años;22
Ambos sexos;Balears, Illes;18 años;18
Ambos sexos;Balears, Illes;19 años;55
Ambos sexos;Balears, Illes;20 años;71
Ambos sexos;Balears, Illes;21 años;44
Ambos sexos;Balears, Illes;22 años;98
Ambos sexos;Balears, Illes;23 años;121
Ambos sexos;Balears, Illes;24 años;76
Ambos sexos;Balears, Illes;25 años;80
Ambos sexos;Balears, Illes;26 años;157
Ambos sexos;Balears, Illes;27 años;212
Ambos sexos;Balears, Illes;28 años;138
Ambos sexos;Balears, Illes;29 años;203
Ambos sexos;Balears, Illes;30 años;68
Ambos sexos;Balears, Illes;31 años;58
Ambos sexos;Balears, Illes;32 años;99
Ambos sexos;Balears, Illes;33 años;75
Ambos sexos;Balears, Illes;34 años;98
Ambos sexos;Balears, Illes;35 años;78
Ambos sexos;Balears, Illes;36 años;77
Ambos sexos;Balears, Illes;37 años;54
Ambos sexos;Balears, Illes;38 años;51
Ambos sexos;Balears, Illes;39 años;60
Ambos sexos;Balears, Illes;40 años;85
Ambos sexos;Balears, Illes;41 años;92
Ambos sexos;Balears, Illes;42 años;19
Ambos sexos;Balears, Illes;43 años;50
Ambos sexos;Balears, Illes;44 años;69
Ambos sexos;Balears, Illes;45 años;47
Ambos sexos;Balears, Illes;46 años;81
Ambos sexos;Balears, Illes;47 años;24
Ambos sexos;Balears, Illes;48 años;78
Ambos sexos;Balears, Illes;49 años;45
Ambos sexos;Balears, Illes;50 años;84
Ambos sexos;Balears, Illes;51 años;73
Ambos sexos;Balears, Illes;52 años;46
Ambos sexos;Balears, Illes;53 años;28
Ambos sexos;Balears, Illes;54 años;40
Ambos sexos;Balears, Illes;55 años;29
Ambos sexos;Balears, Illes;56 años;50
Ambos sexos;Balears, Illes;57 años;77
Ambos sexos;Balears, Illes;58 años;11
Ambos sexos;Balears, Illes;59 años;42
Ambos sexos;Balears, Illes;60 años;39
Ambos sexos;Balears, Illes;61 años;19
Ambos sexos;Balears, Illes;62 años;42
Ambos sexos;Balears, Illes;63 años;70
Ambos sexos;Balears, Illes;64 años;58
Ambos sexos;Balears, Illes;65 años;21
Ambos sexos;Balears, Illes;66 años;22
Ambos sexos;Balears, Illes;67 años;77
Ambos sexos;Balears, Illes;68 años;52
Ambos sexos;Balears, Illes;69 años;35
Ambos sexos;Balears, Illes;70 años;35
Ambos sexos;Balears, Illes;71 años;93
Ambos sexos;Balears, Illes;72 años;29
Ambos sexos;Balears, Illes;73 años;63
Ambos sexos;Balears, Illes;74 años;46
Ambos sexos;Balears, Illes;75 años;106
Ambos sexos;Balears, Illes;76 años;151
Ambos sexos;Balears, Illes;77 años;71
Ambos sexos;Balears, Illes;78 años;179
Ambos sexos;Balears, Illes;79 años;129
Ambos sexos;Balears, Illes;80 años;198
Ambos sexos;Balears, Illes;81 años;169
Ambos sexos;Balears, Illes;82 años;169
Ambos sexos;Balears, Illes;83 años;264
Ambos sexos;Balears, Illes;84 años;177
Ambos sexos;Balears, Illes;85 años;222
Ambos sexos;Balears, Illes;86 años;243
Ambos sexos;Balears, Illes;87 años;176
Ambos sexos;Balears, Illes;88 años;217
Ambos sexos;Balears, Illes;89 años;190
Ambos sexos;Balears, Illes;90 años;132
Ambos sexos;Balears, Illes;91 años;122
