Comunidades Autónomas y Provincias;Tipo de establecimiento colectivo (agrupado);Sexo;Total
Burgos;Residencias de personas mayores;Ambos sexos;5.095
Burgos;Residencias de personas mayores;Hombre;1.905
Burgos;Residencias de personas mayores;Mujer;3.191
Burgos;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;581
Burgos;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;335
Burgos;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;246
Burgos;Instituciones religiosas o militares;Ambos sexos;1.585
Burgos;Instituciones religiosas o militares;Hombre;705
Burgos;Instituciones religiosas o militares;Mujer;880
Burgos;Otros tipos de establecimientos colectivos;Ambos sexos;626
Burgos;Otros tipos de establecimientos colectivos;Hombre;580
Burgos;Otros tipos de establecimientos colectivos;Mujer;46
León;Total;Ambos sexos;9.228
León;Total;Hombre;4.373
León;Total;Mujer;4.856
León;Instituciones sanitarias;Ambos sexos;242
León;Instituciones sanitarias;Hombre;109
León;Instituciones sanitarias;Mujer;134
León;Residencias de personas mayores;Ambos sexos;5.289
León;Residencias de personas mayores;Hombre;1.613
León;Residencias de personas mayores;Mujer;3.675
León;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;611
León;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;344
León;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;268
León;Instituciones religiosas o militares;Ambos sexos;1.551
León;Instituciones religiosas o militares;Hombre;983
León;Instituciones religiosas o militares;Mujer;568
León;Otros tipos de establecimientos colectivos;Ambos sexos;1.535
