Provincias;Sexo;Periodo;Total
04 Almería;Hombres;1977;1.606
04 Almería;Hombres;1976;1.650
04 Almería;Hombres;1975;1.713
04 Almería;Mujeres;2018;2.522
04 Almería;Mujeres;2017;2.473
04 Almería;Mujeres;2016;2.338
04 Almería;Mujeres;2015;2.506
04 Almería;Mujeres;2014;2.213
04 Almería;Mujeres;2013;2.247
04 Almería;Mujeres;2012;2.338
04 Almería;Mujeres;2011;2.195
04 Almería;Mujeres;2010;2.122
04 Almería;Mujeres;2009;2.130
04 Almería;Mujeres;2008;2.083
04 Almería;Mujeres;2007;2.172
04 Almería;Mujeres;2006;1.949
04 Almería;Mujeres;2005;2.118
04 Almería;Mujeres;2004;1.948
04 Almería;Mujeres;2003;1.961
04 Almería;Mujeres;2002;1.995
04 Almería;Mujeres;2001;1.825
04 Almería;Mujeres;2000;1.817
04 Almería;Mujeres;1999;1.829
04 Almería;Mujeres;1998;1.804
04 Almería;Mujeres;1997;1.792
04 Almería;Mujeres;1996;1.849
04 Almería;Mujeres;1995;1.679
04 Almería;Mujeres;1994;1.692
04 Almería;Mujeres;1993;1.688
04 Almería;Mujeres;1992;1.589
04 Almería;Mujeres;1991;1.717
04 Almería;Mujeres;1990;1.576
04 Almería;Mujeres;1989;1.693
04 Almería;Mujeres;1988;1.617
04 Almería;Mujeres;1987;1.587
04 Almería;Mujeres;1986;1.594
04 Almería;Mujeres;1985;1.538
04 Almería;Mujeres;1984;1.395
04 Almería;Mujeres;1983;1.542
04 Almería;Mujeres;1982;1.486
04 Almería;Mujeres;1981;1.577
04 Almería;Mujeres;1980;1.617
04 Almería;Mujeres;1979;1.597
04 Almería;Mujeres;1978;1.614
04 Almería;Mujeres;1977;1.638
04 Almería;Mujeres;1976;1.652
04 Almería;Mujeres;1975;1.661
01 Araba/Álava;Total;2018;2.765
01 Araba/Álava;Total;2017;2.812
01 Araba/Álava;Total;2016;2.688
01 Araba/Álava;Total;2015;2.766
01 Araba/Álava;Total;2014;2.476
01 Araba/Álava;Total;2013;2.583
01 Araba/Álava;Total;2012;2.521
01 Araba/Álava;Total;2011;2.519
01 Araba/Álava;Total;2010;2.430
01 Araba/Álava;Total;2009;2.490
01 Araba/Álava;Total;2008;2.412
01 Araba/Álava;Total;2007;2.414
01 Araba/Álava;Total;2006;2.247
01 Araba/Álava;Total;2005;2.500
01 Araba/Álava;Total;2004;2.275
01 Araba/Álava;Total;2003;2.357
01 Araba/Álava;Total;2002;2.168
01 Araba/Álava;Total;2001;2.220
01 Araba/Álava;Total;2000;2.192
01 Araba/Álava;Total;1999;2.272
01 Araba/Álava;Total;1998;2.107
01 Araba/Álava;Total;1997;2.038
01 Araba/Álava;Total;1996;2.089
01 Araba/Álava;Total;1995;2.051
01 Araba/Álava;Total;1994;1.932
01 Araba/Álava;Total;1993;1.896
01 Araba/Álava;Total;1992;1.824
01 Araba/Álava;Total;1991;1.918
01 Araba/Álava;Total;1990;1.887
01 Araba/Álava;Total;1989;1.756
01 Araba/Álava;Total;1988;1.747
01 Araba/Álava;Total;1987;1.592
01 Araba/Álava;Total;1986;1.614
01 Araba/Álava;Total;1985;1.636
01 Araba/Álava;Total;1984;1.451
01 Araba/Álava;Total;1983;1.513
01 Araba/Álava;Total;1982;1.368
01 Araba/Álava;Total;1981;1.461
01 Araba/Álava;Total;1980;1.537
01 Araba/Álava;Total;1979;1.555
01 Araba/Álava;Total;1978;1.617
01 Araba/Álava;Total;1977;1.584
01 Araba/Álava;Total;1976;1.607
01 Araba/Álava;Total;1975;1.534
01 Araba/Álava;Hombres;2018;1.449
01 Araba/Álava;Hombres;2017;1.466
01 Araba/Álava;Hombres;2016;1.422
01 Araba/Álava;Hombres;2015;1.410
01 Araba/Álava;Hombres;2014;1.264
01 Araba/Álava;Hombres;2013;1.401
01 Araba/Álava;Hombres;2012;1.320
01 Araba/Álava;Hombres;2011;1.378
01 Araba/Álava;Hombres;2010;1.278
01 Araba/Álava;Hombres;2009;1.316
01 Araba/Álava;Hombres;2008;1.277
01 Araba/Álava;Hombres;2007;1.282
01 Araba/Álava;Hombres;2006;1.223
01 Araba/Álava;Hombres;2005;1.396
01 Araba/Álava;Hombres;2004;1.197
01 Araba/Álava;Hombres;2003;1.229
01 Araba/Álava;Hombres;2002;1.136
01 Araba/Álava;Hombres;2001;1.224
01 Araba/Álava;Hombres;2000;1.203
01 Araba/Álava;Hombres;1999;1.228
01 Araba/Álava;Hombres;1998;1.159
01 Araba/Álava;Hombres;1997;1.154
01 Araba/Álava;Hombres;1996;1.132
01 Araba/Álava;Hombres;1995;1.168
01 Araba/Álava;Hombres;1994;1.091
01 Araba/Álava;Hombres;1993;1.066
01 Araba/Álava;Hombres;1992;1.038
01 Araba/Álava;Hombres;1991;1.081
01 Araba/Álava;Hombres;1990;1.047
01 Araba/Álava;Hombres;1989;978
01 Araba/Álava;Hombres;1988;998
01 Araba/Álava;Hombres;1987;877
01 Araba/Álava;Hombres;1986;905
01 Araba/Álava;Hombres;1985;861
01 Araba/Álava;Hombres;1984;817
01 Araba/Álava;Hombres;1983;809
01 Araba/Álava;Hombres;1982;738
01 Araba/Álava;Hombres;1981;786
01 Araba/Álava;Hombres;1980;860
01 Araba/Álava;Hombres;1979;865
01 Araba/Álava;Hombres;1978;930
01 Araba/Álava;Hombres;1977;906
01 Araba/Álava;Hombres;1976;944
01 Araba/Álava;Hombres;1975;893
01 Araba/Álava;Mujeres;2018;1.316
01 Araba/Álava;Mujeres;2017;1.346
01 Araba/Álava;Mujeres;2016;1.266
01 Araba/Álava;Mujeres;2015;1.356
01 Araba/Álava;Mujeres;2014;1.212
01 Araba/Álava;Mujeres;2013;1.182
01 Araba/Álava;Mujeres;2012;1.201
01 Araba/Álava;Mujeres;2011;1.141
01 Araba/Álava;Mujeres;2010;1.152
01 Araba/Álava;Mujeres;2009;1.174
01 Araba/Álava;Mujeres;2008;1.135
01 Araba/Álava;Mujeres;2007;1.132
01 Araba/Álava;Mujeres;2006;1.024
01 Araba/Álava;Mujeres;2005;1.104
01 Araba/Álava;Mujeres;2004;1.078
01 Araba/Álava;Mujeres;2003;1.128
01 Araba/Álava;Mujeres;2002;1.032
01 Araba/Álava;Mujeres;2001;996
01 Araba/Álava;Mujeres;2000;989
01 Araba/Álava;Mujeres;1999;1.044
01 Araba/Álava;Mujeres;1998;948
01 Araba/Álava;Mujeres;1997;884
01 Araba/Álava;Mujeres;1996;957
01 Araba/Álava;Mujeres;1995;883
01 Araba/Álava;Mujeres;1994;841
01 Araba/Álava;Mujeres;1993;830
