Mes de defunción;Lugar de ocurrencia;Edad;año;Total
Febrero;No consta;De 85 a 89 años;2019;322
Febrero;No consta;De 85 a 89 años;2018;327
Febrero;No consta;De 90 a 94 años;2019;245
Febrero;No consta;De 90 a 94 años;2018;239
Febrero;No consta;De  95 y más años;2019;111
Febrero;No consta;De  95 y más años;2018;103
Febrero;No consta;No consta;2019;..
Febrero;No consta;No consta;2018;..
Marzo;Total;Total;2019;35.154
Marzo;Total;Total;2018;39.772
Marzo;Total;De 0 a 64 años;2019;4.527
Marzo;Total;De 0 a 64 años;2018;5.202
Marzo;Total;De 65 a 69 años;2019;1.919
Marzo;Total;De 65 a 69 años;2018;2.188
Marzo;Total;De 70 a 74 años;2019;2.854
Marzo;Total;De 70 a 74 años;2018;3.111
Marzo;Total;De  75 a 79 años;2019;3.551
Marzo;Total;De  75 a 79 años;2018;3.740
Marzo;Total;De 80 a 84 años;2019;5.482
Marzo;Total;De 80 a 84 años;2018;6.642
Marzo;Total;De 85 a 89 años;2019;7.728
Marzo;Total;De 85 a 89 años;2018;8.766
Marzo;Total;De 90 a 94 años;2019;6.188
Marzo;Total;De 90 a 94 años;2018;6.965
Marzo;Total;De  95 y más años;2019;2.905
Marzo;Total;De  95 y más años;2018;3.158
Marzo;Total;No consta;2019;..
Marzo;Total;No consta;2018;..
Marzo;Centro hospitalario;Total;2019;19.785
Marzo;Centro hospitalario;Total;2018;21.544
Marzo;Centro hospitalario;De 0 a 64 años;2019;2.728
Marzo;Centro hospitalario;De 0 a 64 años;2018;3.005
Marzo;Centro hospitalario;De 65 a 69 años;2019;1.273
Marzo;Centro hospitalario;De 65 a 69 años;2018;1.375
Marzo;Centro hospitalario;De 70 a 74 años;2019;1.889
Marzo;Centro hospitalario;De 70 a 74 años;2018;1.955
Marzo;Centro hospitalario;De  75 a 79 años;2019;2.254
Marzo;Centro hospitalario;De  75 a 79 años;2018;2.325
Marzo;Centro hospitalario;De 80 a 84 años;2019;3.329
Marzo;Centro hospitalario;De 80 a 84 años;2018;3.799
Marzo;Centro hospitalario;De 85 a 89 años;2019;4.276
Marzo;Centro hospitalario;De 85 a 89 años;2018;4.648
Marzo;Centro hospitalario;De 90 a 94 años;2019;2.951
Marzo;Centro hospitalario;De 90 a 94 años;2018;3.286
Marzo;Centro hospitalario;De  95 y más años;2019;1.085
Marzo;Centro hospitalario;De  95 y más años;2018;1.151
Marzo;Centro hospitalario;No consta;2019;..
Marzo;Centro hospitalario;No consta;2018;..
Marzo;Domicilio particular;Total;2019;8.624
Marzo;Domicilio particular;Total;2018;10.295
Marzo;Domicilio particular;De 0 a 64 años;2019;1.059
Marzo;Domicilio particular;De 0 a 64 años;2018;1.197
Marzo;Domicilio particular;De 65 a 69 años;2019;431
